whisky_link,whisky_name,whisky_age,bottling_date,whisky_name_suffix,alcohol_pct
https://www.whisky.com/whisky-database/details/aberlour-aberlour-non-chill-filtered.html,Aberlour,12Y,,Non Chill-Filtered,- 48%
https://www.whisky.com/whisky-database/details/dalmore.html,Dalmore,12Y,,,- 40%
https://www.whisky.com/whisky-database/details/suntory-yamazaki-1.html,Suntory,12Y,,Yamazaki,- 43%
https://www.whisky.com/whisky-database/details/suntory-suntory-yamazaki.html,Suntory,12Y,,Yamazaki,- 43%
https://www.whisky.com/whisky-database/details/tamnavulin-sherry-cask-1.html,Tamnavulin,,,Sherry Cask,- 40%
https://www.whisky.com/whisky-database/details/dalmore-the-twelve-2.html,Dalmore,12Y,,,- 40%
https://www.whisky.com/whisky-database/details/blantons-gold.html,Blantons,,,Gold,- 51.5%
https://www.whisky.com/whisky-database/details/blantons-blantons-gold.html,Blantons,,,Gold,- 51.5%
https://www.whisky.com/whisky-database/details/macallan-amber-1.html,Macallan,,,Amber,- 40%
https://www.whisky.com/whisky-database/details/cardhu-2.html,Cardhu,18Y,,,- 40%
https://www.whisky.com/whisky-database/details/blair-athol-1.html,Blair Athol,12Y,,,- 43%
https://www.whisky.com/whisky-database/details/ardmore-legacy.html,Ardmore,,,Legacy,- 40%
https://www.whisky.com/whisky-database/details/ardmore-ardmore-legacy.html,Ardmore,,,Legacy,- 40%
https://www.whisky.com/whisky-database/details/dalmore-king-alexander-iii-new-design.html,Dalmore,,,King Alexander III - new Design,- 40%
https://www.whisky.com/whisky-database/details/dalmore-king-alexander-iii-1.html,Dalmore,,,King Alexander III,- 40%
https://www.whisky.com/whisky-database/details/glenmorangie-nectar-dor.html,Glenmorangie,12Y,,Nectar d'Or,- 46%
https://www.whisky.com/whisky-database/details/benromach-new-design.html,Benromach,15Y,,- new Design 2020,- 43%
https://www.whisky.com/whisky-database/details/benromach-benromach.html,Benromach,15Y,,,- 43%
https://www.whisky.com/whisky-database/details/glen-elgin.html,Glen Elgin,12Y,,,- 43%
https://www.whisky.com/whisky-database/details/glen-elgin-glen-elgin.html,Glen Elgin,12Y,,,- 43%
